timestamp,step,operation,target,status,rows_affected,errors,duration_seconds,notes
2026-02-19T09:15:00Z,1,CREATE_WAREHOUSE,TRUPHARMA_WH,SUCCESS,0,0,2.1,X-SMALL warehouse with auto-suspend=60s and auto-resume=TRUE
2026-02-19T09:15:03Z,2,CREATE_DATABASE,TRUPHARMA_DB,SUCCESS,0,0,1.4,Root database for clinical data
2026-02-19T09:15:05Z,3,CREATE_SCHEMA,CLINICAL,SUCCESS,0,0,0.8,Schema for adverse event and query log data
2026-02-19T09:16:00Z,4,CREATE_TABLE,DRUG_ADVERSE_EVENTS,SUCCESS,0,0,1.2,14 columns — drug-event pairs with demographics and severity metrics
2026-02-19T09:16:02Z,5,CREATE_TABLE,QUERY_INTERACTION_LOGS,SUCCESS,0,0,1.1,14 columns — RAG pipeline query tracking
2026-02-19T09:17:00Z,6,CREATE_FILE_FORMAT,TRUPHARMA_CSV_FORMAT,SUCCESS,0,0,0.6,CSV with comma delimiter and skip header and null handling
2026-02-19T09:17:01Z,7,CREATE_STAGE,TRUPHARMA_STAGE,SUCCESS,0,0,0.5,Internal Snowflake-managed stage
2026-02-19T09:20:00Z,8,PUT_FILE,TRUPHARMA_STAGE/drug_adverse_events.csv,SUCCESS,1,0,8.3,Uploaded drug_adverse_events.csv to internal stage
2026-02-19T09:20:10Z,9,PUT_FILE,TRUPHARMA_STAGE/query_interaction_logs.csv,SUCCESS,1,0,5.7,Uploaded query_interaction_logs.csv to internal stage
2026-02-19T09:21:00Z,10,COPY_INTO,DRUG_ADVERSE_EVENTS,SUCCESS,2400,0,4.2,Loaded 2400 rows from staged CSV with ON_ERROR=CONTINUE
2026-02-19T09:21:05Z,11,COPY_INTO,QUERY_INTERACTION_LOGS,SUCCESS,500,0,2.8,Loaded 500 rows from staged CSV with ON_ERROR=CONTINUE
2026-02-19T09:22:00Z,12,VALIDATE_ROW_COUNT,DRUG_ADVERSE_EVENTS,SUCCESS,2400,0,0.9,Row count matches expected
2026-02-19T09:22:01Z,13,VALIDATE_ROW_COUNT,QUERY_INTERACTION_LOGS,SUCCESS,500,0,0.7,Row count matches expected
2026-02-19T09:22:30Z,14,VALIDATE_DATE_RANGE,DRUG_ADVERSE_EVENTS,SUCCESS,0,0,1.0,Report dates span 90-day observation window
2026-02-19T09:22:32Z,15,VALIDATE_DISTINCT,DRUG_ADVERSE_EVENTS.DRUG_NAME,SUCCESS,5,0,0.8,5 distinct drugs confirmed
2026-02-19T09:22:33Z,16,VALIDATE_DISTINCT,DRUG_ADVERSE_EVENTS.RACE_ETHNICITY,SUCCESS,5,0,0.6,5 demographic groups confirmed
2026-02-19T09:25:00Z,17,CREATE_VIEW,V_90DAY_DISPARITY_SUMMARY,SUCCESS,0,0,1.3,Aggregated disparity summary by drug-event-demographic-region-quarter
2026-02-19T09:25:02Z,18,CREATE_VIEW,V_RACIAL_DISPARITY_INDEX,SUCCESS,0,0,1.5,CTE-based disparity index with baseline comparison and tiered flagging
2026-02-19T09:25:04Z,19,CREATE_VIEW,V_90DAY_WEEKLY_TREND,SUCCESS,0,0,1.1,Weekly bucketed trend data for time-series visualization
2026-02-19T09:25:06Z,20,CREATE_VIEW,V_QUERY_DISPARITY_ACTIVITY,SUCCESS,0,0,1.2,RAG query log aggregation by day-drug-event with disparity percentages
2026-02-19T09:26:00Z,21,VALIDATE_VIEW,V_90DAY_DISPARITY_SUMMARY,SUCCESS,0,0,2.1,View returns results — confirmed grouping and derived metrics
2026-02-19T09:26:03Z,22,VALIDATE_VIEW,V_RACIAL_DISPARITY_INDEX,SUCCESS,0,0,2.4,Disparity flags generated correctly — HIGH/MODERATE/COMPARABLE
2026-02-19T09:26:06Z,23,VALIDATE_VIEW,V_90DAY_WEEKLY_TREND,SUCCESS,0,0,1.8,Weekly buckets align with 90-day observation window
2026-02-19T09:26:09Z,24,VALIDATE_VIEW,V_QUERY_DISPARITY_ACTIVITY,SUCCESS,0,0,1.6,Disparity query percentages computed correctly
2026-02-19T09:30:00Z,25,PIPELINE_COMPLETE,ALL,SUCCESS,0,0,0.0,Full pipeline executed — 24 steps — 0 errors — ready for dashboard layer
